         259169 function calls (254411 primitive calls) in 3.619 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.003    0.003 arraysetops.py:25(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 association.py:12(<module>)
        1    0.000    0.000    0.000    0.000 association.py:143(BigramAssocMeasures)
        1    0.000    0.000    0.000    0.000 association.py:216(TrigramAssocMeasures)
        1    0.000    0.000    0.000    0.000 association.py:268(ContingencyMeasures)
        1    0.000    0.000    0.000    0.000 association.py:35(NgramAssocMeasures)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:128(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:139(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:146(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:276(HTTPKerberosAuth)
        1    0.000    0.000    0.000    0.000 auth.py:45(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:52(OAuth1)
        1    0.002    0.002    0.010    0.010 auth.py:8(<module>)
        1    0.001    0.001    0.006    0.006 babelfish.py:20(<module>)
        1    0.000    0.000    0.000    0.000 babelfish.py:58(BabelizerError)
        1    0.000    0.000    0.000    0.000 babelfish.py:62(BabelfishChangedError)
        1    0.000    0.000    0.000    0.000 babelfish.py:68(BabelizerIOError)
        1    0.001    0.001    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bnc.py:10(<module>)
        1    0.000    0.000    0.000    0.000 bnc.py:155(BNCSentence)
        1    0.000    0.000    0.000    0.000 bnc.py:164(BNCWordView)
        1    0.000    0.000    0.000    0.000 bnc.py:21(BNCCorpusReader)
        1    0.000    0.000    0.000    0.000 boxer.py:1008(BoxerEq)
        1    0.000    0.000    0.000    0.000 boxer.py:1029(BoxerCard)
        1    0.000    0.000    0.000    0.000 boxer.py:1048(BoxerOr)
        1    0.000    0.000    0.000    0.000 boxer.py:1072(BoxerWhq)
        1    0.000    0.000    0.000    0.000 boxer.py:1100(PassthroughBoxerDrsInterpreter)
        1    0.000    0.000    0.000    0.000 boxer.py:1105(NltkDrtBoxerDrsInterpreter)
        1    0.000    0.000    0.000    0.000 boxer.py:1163(UnparseableInputException)
        1    0.004    0.004    0.013    0.013 boxer.py:23(<module>)
        1    0.000    0.000    0.000    0.000 boxer.py:253(BoxerOutputDrsParser)
        1    0.000    0.000    0.000    0.000 boxer.py:41(Boxer)
        1    0.000    0.000    0.000    0.000 boxer.py:594(BoxerDrsParser)
        1    0.000    0.000    0.000    0.000 boxer.py:769(AbstractBoxerDrs)
        1    0.000    0.000    0.000    0.000 boxer.py:805(BoxerDrs)
        1    0.000    0.000    0.000    0.000 boxer.py:859(BoxerNot)
        1    0.000    0.000    0.000    0.000 boxer.py:882(BoxerIndexed)
        1    0.000    0.000    0.000    0.000 boxer.py:905(BoxerPred)
        1    0.000    0.000    0.000    0.000 boxer.py:932(BoxerNamed)
        1    0.000    0.000    0.000    0.000 boxer.py:958(BoxerRel)
        1    0.000    0.000    0.000    0.000 boxer.py:981(BoxerProp)
        1    0.000    0.000    0.003    0.003 bracket_parse.py:10(<module>)
        1    0.000    0.000    0.000    0.000 bracket_parse.py:106(CategorizedBracketParseCorpusReader)
        1    0.000    0.000    0.000    0.000 bracket_parse.py:163(AlpinoCorpusReader)
        1    0.000    0.000    0.000    0.000 bracket_parse.py:25(BracketParseCorpusReader)
        1    0.000    0.000    0.000    0.000 brill.py:146(BrillRule)
        1    0.000    0.000    0.000    0.000 brill.py:221(ProximateTokensRule)
        1    0.000    0.000    0.000    0.000 brill.py:394(ProximateTagsRule)
        1    0.000    0.000    0.000    0.000 brill.py:407(ProximateWordsRule)
        1    0.000    0.000    0.000    0.000 brill.py:424(BrillTemplateI)
        1    0.000    0.000    0.000    0.000 brill.py:470(ProximateTokensTemplate)
        1    0.000    0.000    0.000    0.000 brill.py:559(SymmetricProximateTokensTemplate)
        1    0.000    0.000    0.000    0.000 brill.py:620(BrillTaggerTrainer)
        1    0.002    0.002    0.002    0.002 brill.py:70(<module>)
        1    0.001    0.001    0.001    0.001 brill.py:835(FastBrillTaggerTrainer)
        1    0.000    0.000    0.000    0.000 brill.py:85(BrillTagger)
        1    0.008    0.008    0.017    0.017 cElementTree.py:3(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:255(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:372(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:484(TimeEncoding)
        1    0.000    0.000    0.000    0.000 calendar.py:496(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:531(LocaleHTMLCalendar)
        1    0.002    0.002    0.003    0.003 calendar.py:6(<module>)
